q1	q2	q3	qd1	qd2	qd3	qdd1	qdd2	qdd3	trq2_dyn	trq3_dyn	
-0.375011	1.80005	-1.79994	0.0531751	0	0	53.1751	0	0	-30.7993	2.16116	
-0.374858	1.80005	-1.79994	0.0494705	0	0	24.7352	0	0	-30.7755	2.16158	
-0.376541	1.80005	-1.79994	0.0514407	0	0	17.1469	0	0	-31.0749	2.17964	
-0.376049	1.80005	-1.79994	0.0553519	0	0	13.838	0	0	-30.9828	2.17176	
-0.375753	1.80005	-1.79994	0.0576987	0	0	11.5397	0	0	-30.9276	2.167	
-0.375515	1.80005	-1.79994	0.0557099	-0.00294813	0	9.28498	-0.491355	0	-30.8879	2.16614	
-0.375345	1.79998	-1.79994	0.0542893	-0.0673341	0	7.75562	-9.61916	0	-30.8828	2.18048	
-0.375248	1.79985	-1.79995	0.0532159	-0.149696	-0.00389888	6.65198	-18.7119	-0.487361	-30.8995	2.20102	
-0.375146	1.79967	-1.79995	0.0523881	-0.205213	-0.00578619	5.8209	-22.8014	-0.64291	-30.9058	2.21494	
-0.375063	1.79947	-1.79996	0.0517259	-0.230069	-0.00731094	5.17259	-23.0069	-0.731094	-30.9051	2.22211	
-0.374995	1.79922	-1.79996	0.050985	-0.250174	-0.00725928	-0.219009	-25.0174	-0.725928	-30.9059	2.22832	
-0.375515	1.79896	-1.79997	0.0510878	-0.253281	-0.00724117	0.16173	-25.3281	-0.724117	-31.0056	2.23709	
-0.374981	1.7987	-1.79998	0.0507546	-0.256951	-0.00724436	-0.0686109	-25.6951	-0.724436	-30.9172	2.23415	
-0.374981	1.79842	-1.79998	0.0492509	-0.282408	-0.00724436	-0.610106	-28.2408	-0.724436	-30.9333	2.24306	
-0.375515	1.79808	-1.79999	0.0561779	-0.337542	-0.00724436	-0.152076	-33.7542	-0.724436	-31.0493	2.26049	
-0.376073	1.79766	-1.8	0.0652369	-0.421176	-0.0101739	0.952706	-41.8228	-1.01739	-31.181	2.28468	
-0.376631	1.79717	-1.80001	0.074296	-0.488349	-0.0144056	2.00067	-42.1014	-1.44056	-31.3095	2.30587	
-0.376559	1.79663	-1.80003	0.0850581	-0.534752	-0.0136951	3.18422	-38.5056	-0.979621	-31.3143	2.31355	
-0.376583	1.79605	-1.80004	0.0964486	-0.578572	-0.0122522	4.40605	-37.3359	-0.646601	-31.3355	2.32138	
-0.376535	1.79542	-1.80005	0.107204	-0.626547	-0.0106394	5.54784	-39.6478	-0.332843	-31.3466	2.33005	
-0.37637	1.79473	-1.80006	0.11796	-0.683044	-0.0106479	6.69751	-43.287	-0.338862	-31.3412	2.34016	
-0.375836	1.79398	-1.80007	0.134851	-0.75148	-0.010666	8.37628	-49.8199	-0.342484	-31.2682	2.34566	
-0.375836	1.79315	-1.80007	0.151216	-0.828256	-0.00904413	10.0461	-57.1304	-0.179977	-31.2965	2.35945	
-0.37637	1.79224	-1.80008	0.165864	-0.904314	-0.00825584	11.6613	-62.1907	-0.101147	-31.4256	2.38091	
-0.375836	1.79126	-1.80009	0.173798	-0.975703	-0.00825424	11.7621	-63.8161	-0.100988	-31.3665	2.39403	
-0.375836	1.79021	-1.80009	0.180016	-1.04103	-0.00533433	11.4779	-61.9849	0.483952	-31.4046	2.4125	
-0.375112	1.78911	-1.8001	0.192918	-1.09172	-0.00349248	11.8622	-60.3369	1.09131	-31.3009	2.41642	
-0.375185	1.78796	-1.8001	0.199156	-1.1381	-0.00202508	11.4098	-60.3347	1.167	-31.3483	2.43256	
-0.375719	1.78676	-1.8001	0.203042	-1.1866	-0.0012698	10.6593	-60.8032	1.09824	-31.4842	2.45617	
-0.375601	1.78551	-1.8001	0.21684	-1.23909	-0.000783505	10.9636	-61.2538	0.985587	-31.494	2.46802	
-0.375792	1.7842	-1.8001	0.230425	-1.30025	-0.000398943	11.2465	-61.7203	1.0249	-31.5649	2.48573	
-0.375254	1.78282	-1.8001	0.237986	-1.36788	0.0024922	10.3135	-61.6405	1.31582	-31.5107	2.50038	
-0.375254	1.78137	-1.8001	0.245333	-1.4401	0.00339341	9.41173	-61.1843	1.24375	-31.559	2.523	
-0.374184	1.77984	-1.8001	0.25461	-1.51347	0.00394256	8.87458	-60.9157	1.21984	-31.4117	2.53369	
-0.374184	1.77824	-1.80009	0.261957	-1.58677	0.00492048	8.81587	-61.1065	1.31747	-31.4631	2.55751	
-0.374184	1.77657	-1.80009	0.278492	-1.65498	0.00484751	9.84753	-61.3957	1.01818	-31.5055	2.57558	
-0.374374	1.77484	-1.80008	0.291518	-1.71775	0.00723744	9.86002	-62.6031	1.07299	-31.5845	2.59631	
-0.374374	1.77305	-1.80008	0.309513	-1.77552	0.00778552	11.0357	-63.7417	0.98106	-31.6241	2.61183	
-0.374374	1.7712	-1.80007	0.328371	-1.83189	0.00771255	12.5329	-64.5281	0.898235	-31.6634	2.62693	
-0.374027	1.76929	-1.80006	0.338167	-1.89303	0.00771681	12.1327	-65.3949	0.850031	-31.6508	2.64514	
-0.374027	1.76731	-1.80006	0.353004	-1.95863	0.0072891	12.2578	-65.8384	0.768805	-31.7	2.66561	
-0.373729	1.76526	-1.80005	0.362584	-2.02988	0.00439796	12.4599	-66.1993	0.190577	-31.7037	2.68821	
-0.373729	1.76314	-1.80005	0.377421	-2.10488	0.00187807	13.2088	-66.4778	-0.151535	-31.7594	2.71198	
-0.373729	1.76093	-1.80005	0.398417	-2.18161	0.000540624	14.3807	-66.8136	-0.340194	-31.8104	2.73269	
-0.373729	1.75865	-1.80005	0.413254	-2.25839	-0.000438891	15.1296	-67.1619	-0.535937	-31.8691	2.75735	
-0.37236	1.75629	-1.80005	0.428481	-2.33362	-0.000356332	14.999	-67.8641	-0.520384	-31.6753	2.76794	
-0.37236	1.75386	-1.80005	0.432671	-2.40584	-0.000356332	14.1153	-68.8085	-0.759377	-31.7457	2.79874	
-0.37236	1.75136	-1.80005	0.436861	-2.47166	3.67518e-05	12.7348	-69.6146	-0.774877	-31.8153	2.82843	
-0.371827	1.7488	-1.80005	0.441903	-2.53588	0	11.3533	-70.3996	-0.771255	-31.7864	2.8524	
-0.372364	1.74617	-1.80005	0.44673	-2.60249	0.000428238	10.8564	-70.9452	-0.728857	-31.9569	2.88761	
-0.371528	1.74347	-1.80005	0.459103	-2.67968	0.00132839	10.6099	-72.1045	-0.596071	-31.8702	2.90757	
-0.37115	1.74067	-1.80005	0.470518	-2.77077	0.00129963	10.7933	-74.0892	-0.309833	-31.8756	2.93614	
-0.370315	1.73777	-1.80005	0.48289	-2.8663	0.0012927	10.5469	-76.1427	-0.0585365	-31.799	2.9613	
-0.369638	1.73479	-1.80005	0.48289	-2.95821	0.00129377	8.44735	-77.6606	0.0753145	-31.7651	2.99508	
-0.369638	1.73172	-1.80005	0.503258	-3.03874	-0.000270046	9.00042	-78.0352	0.0168845	-31.8314	3.02116	
-0.369638	1.72857	-1.80005	0.520551	-3.1085	-0.00197554	9.20701	-77.4874	-0.161921	-31.8988	3.04706	
