count	q1	q2	q3	qd1	qd2	qd3	x	y	theta	qdd1	qdd2	qdd3	trq2	trq3	trq2_act	trq3_act	
1	-0.375011	1.80005	-1.79994	0.0531751	0	0	-0.00560088	0.517571	1.19589	53.1751	0	0	-8.92657	0.106879	-3.62673	0.887792	
2	-0.374858	1.80005	-1.79994	0.0494705	0	0	-0.00567981	0.51757	1.19605	24.7352	0	0	-8.9207	0.108275	-3.55117	0.850014	
3	-0.376541	1.80005	-1.79994	0.0514407	0	0	-0.00480877	0.517579	1.19436	17.1469	0	0	-8.99584	0.0990157	-3.60784	0.793346	
4	-0.376049	1.80005	-1.79994	0.0553519	0	0	-0.00506355	0.517576	1.19485	13.838	0	0	-8.97262	0.101031	-3.62673	0.831125	
5	-0.375753	1.80005	-1.79994	0.0576987	0	0	-0.00521642	0.517575	1.19515	11.5397	0	0	-8.95872	0.102229	-6.27121	0.321116	
6	-0.375515	1.80005	-1.79994	0.0557099	-0.00294813	0	-0.00533898	0.517574	1.19538	9.28498	-0.491355	0	-8.95921	0.103869	-9.80349	0.0755568	
7	-0.375345	1.79998	-1.79994	0.0542893	-0.0673341	0	-0.00541342	0.517581	1.19549	7.75562	-9.61916	0	-8.96683	0.106254	-8.36792	0.0755568	
8	-0.375248	1.79985	-1.79995	0.0532159	-0.149696	-0.00389888	-0.00543351	0.517597	1.19545	6.65198	-18.7119	-0.487361	-8.98263	0.0982218	-8.78348	0.0566676	
9	-0.375146	1.79967	-1.79995	0.0523881	-0.205213	-0.00578619	-0.00544706	0.517619	1.19537	5.8209	-22.8014	-0.64291	-8.99188	0.0999651	-9.33126	0.132224	
10	-0.375063	1.79947	-1.79996	0.0517259	-0.230069	-0.00731094	-0.00544718	0.517642	1.19525	5.17259	-23.0069	-0.731094	-8.99494	0.101023	-9.33126	0.0755568	
11	-0.374995	1.79922	-1.79996	0.050985	-0.250174	-0.00725928	-0.00542698	0.517672	1.19506	-0.219009	-25.0174	-0.725928	-8.99751	0.102155	-9.14237	0.0566676	
12	-0.375515	1.79896	-1.79997	0.0510878	-0.253281	-0.00724117	-0.00510093	0.517706	1.19427	0.16173	-25.3281	-0.724117	-9.02233	0.0996524	-8.9157	0.113335	
13	-0.374981	1.7987	-1.79998	0.0507546	-0.256951	-0.00724436	-0.00531964	0.517736	1.19454	-0.0686109	-25.6951	-0.724436	-9.00017	0.10287	-8.63236	0.207781	
14	-0.374981	1.79842	-1.79998	0.0492509	-0.282408	-0.00724436	-0.00525699	0.517771	1.19425	-0.610106	-28.2408	-0.724436	-9.00738	0.103898	-8.34903	0.113335	
15	-0.375515	1.79808	-1.79999	0.0561779	-0.337542	-0.00724436	-0.00490649	0.517815	1.19337	-0.152076	-33.7542	-0.724436	-9.04336	0.101362	-8.36792	0.132224	
16	-0.376073	1.79766	-1.8	0.0652369	-0.421176	-0.0101739	-0.00452536	0.517869	1.19238	0.952706	-41.8228	-1.01739	-9.08732	0.0986958	-8.5757	0.170003	
17	-0.376631	1.79717	-1.80001	0.074296	-0.488349	-0.0144056	-0.00412843	0.517931	1.19132	2.00067	-42.1014	-1.44056	-9.12795	0.095595	-8.78348	0.0755568	
18	-0.376559	1.79663	-1.80003	0.0850581	-0.534752	-0.0136951	-0.00404775	0.517996	1.19084	3.18422	-38.5056	-0.979621	-9.13421	0.0958189	-9.14237	0.0755568	
19	-0.376583	1.79605	-1.80004	0.0964486	-0.578572	-0.0122522	-0.00390707	0.518067	1.19023	4.40605	-37.3359	-0.646601	-9.14411	0.095465	-9.21793	0.132224	
20	-0.376535	1.79542	-1.80005	0.107204	-0.626547	-0.0106394	-0.00379405	0.518144	1.18963	5.54784	-39.6478	-0.332843	-9.15198	0.0957801	-9.25571	0.113335	
21	-0.37637	1.79473	-1.80006	0.11796	-0.683044	-0.0106479	-0.00372984	0.518227	1.1891	6.69751	-43.287	-0.338862	-9.15699	0.0968391	-9.12348	0.170003	
22	-0.375836	1.79398	-1.80007	0.134851	-0.75148	-0.010666	-0.00384153	0.518317	1.18887	8.37628	-49.8199	-0.342484	-9.14673	0.0992993	-8.76459	0.0755568	
23	-0.375836	1.79315	-1.80007	0.151216	-0.828256	-0.00904413	-0.00366038	0.518419	1.18803	10.0461	-57.1304	-0.179977	-9.16256	0.0993514	-8.68903	0.0755568	
24	-0.37637	1.79224	-1.80008	0.165864	-0.904314	-0.00825584	-0.00318593	0.518532	1.18658	11.6613	-62.1907	-0.101147	-9.20307	0.0966997	-8.59459	0.132224	
25	-0.375836	1.79126	-1.80009	0.173798	-0.975703	-0.00825424	-0.00324909	0.51865	1.18613	11.7621	-63.8161	-0.100988	-9.19693	0.101	-8.61348	0.0377784	
26	-0.375836	1.79021	-1.80009	0.180016	-1.04103	-0.00533433	-0.00302114	0.518778	1.18507	11.4779	-61.9849	0.483952	-9.21362	0.10282	-8.80237	0.151114	
27	-0.375112	1.78911	-1.8001	0.192918	-1.09172	-0.00349248	-0.00315757	0.518911	1.18469	11.8622	-60.3369	1.09131	-9.19256	0.107168	-9.04793	0.113335	
28	-0.375185	1.78796	-1.8001	0.199156	-1.1381	-0.00202508	-0.00287063	0.519051	1.18347	11.4098	-60.3347	1.167	-9.20844	0.108067	-9.33126	0.113335	
29	-0.375719	1.78676	-1.8001	0.203042	-1.1866	-0.0012698	-0.00233385	0.519198	1.18174	10.6593	-60.8032	1.09824	-9.24654	0.106795	-9.33126	0.0755568	
30	-0.375601	1.78551	-1.8001	0.21684	-1.23909	-0.000783505	-0.00212361	0.519349	1.1806	10.9636	-61.2538	0.985587	-9.25342	0.117694	-9.23682	0.0566676	
31	-0.375792	1.7842	-1.8001	0.230425	-1.30025	-0.000398943	-0.00174	0.519509	1.1791	11.2465	-61.7203	1.0249	-9.27651	0.117178	-9.16126	0.0377784	
32	-0.375254	1.78282	-1.8001	0.237986	-1.36788	0.0024922	-0.00171953	0.519675	1.17826	10.3135	-61.6405	1.31582	-9.27035	0.132268	-8.95348	0.170003	
33	-0.375254	1.78137	-1.8001	0.245333	-1.4401	0.00339341	-0.0014041	0.51985	1.17681	9.41173	-61.1843	1.24375	-9.29006	0.134378	-8.68903	0.0755568	
34	-0.374184	1.77984	-1.8001	0.25461	-1.51347	0.00394256	-0.00162931	0.520033	1.17636	8.87458	-60.9157	1.21984	-9.26186	0.142322	-8.63236	0.132224	
35	-0.374184	1.77824	-1.80009	0.261957	-1.58677	0.00492048	-0.00128171	0.520225	1.17476	8.81587	-61.1065	1.31747	-9.28234	0.14468	-8.85903	0.113335	
36	-0.374184	1.77657	-1.80009	0.278492	-1.65498	0.00484751	-0.000918937	0.520425	1.1731	9.84753	-61.3957	1.01818	-9.29879	0.145369	-8.85903	0.113335	
37	-0.374374	1.77484	-1.80008	0.291518	-1.71775	0.00723744	-0.00044322	0.520633	1.17118	9.86002	-62.6031	1.07299	-9.32335	0.145686	-9.42571	0.132224	
38	-0.374374	1.77305	-1.80008	0.309513	-1.77552	0.00778552	-5.33391e-05	0.520847	1.16939	11.0357	-63.7417	0.98106	-9.33685	0.146017	-9.42571	0.113335	
39	-0.374374	1.7712	-1.80007	0.328371	-1.83189	0.00771255	0.000349499	0.521067	1.16755	12.5329	-64.5281	0.898235	-9.34989	0.146177	-9.35015	0.170003	
40	-0.374027	1.76929	-1.80006	0.338167	-1.89303	0.00771681	0.000585592	0.521294	1.16599	12.1327	-65.3949	0.850031	-9.35209	0.150033	-9.33126	0.170003	
41	-0.374027	1.76731	-1.80006	0.353004	-1.95863	0.0072891	0.00101749	0.521528	1.16402	12.2578	-65.8384	0.768805	-9.36931	0.151266	-9.01015	0.113335	
42	-0.373729	1.76526	-1.80005	0.362584	-2.02988	0.00439796	0.00130996	0.521769	1.16227	12.4599	-66.1993	0.190577	-9.37724	0.155128	-8.85903	0.170003	
43	-0.373729	1.76314	-1.80005	0.377421	-2.10488	0.00187807	0.00177567	0.522018	1.16015	13.2088	-66.4778	-0.151535	-9.39765	0.156681	-8.80237	0.264449	
44	-0.373729	1.76093	-1.80005	0.398417	-2.18161	0.000540624	0.00225918	0.522275	1.15795	14.3807	-66.8136	-0.340194	-9.41614	0.147493	-8.70792	0.22667	
45	-0.373729	1.75865	-1.80005	0.413254	-2.25839	-0.000438891	0.00276068	0.52254	1.15567	15.1296	-67.1619	-0.535937	-9.43715	0.149447	-9.06682	0.132224	
46	-0.37236	1.75629	-1.80005	0.428481	-2.33362	-0.000356332	0.0025641	0.522816	1.15468	14.999	-67.8641	-0.520384	-9.39668	0.159396	-9.14237	0.113335	
47	-0.37236	1.75386	-1.80005	0.432671	-2.40584	-0.000356332	0.00309968	0.523097	1.15225	14.1153	-68.8085	-0.759377	-9.42096	0.163246	-9.46349	0.0755568	
48	-0.37236	1.75136	-1.80005	0.436861	-2.47166	3.67518e-05	0.00365065	0.523384	1.14975	12.7348	-69.6146	-0.774877	-9.44378	0.166983	-9.40682	0.0755568	
49	-0.371827	1.7488	-1.80005	0.441903	-2.53588	0	0.00393696	0.523679	1.14772	11.3533	-70.3996	-0.771255	-9.44243	0.173657	-9.42571	0.0755568	
50	-0.372364	1.74617	-1.80005	0.44673	-2.60249	0.000428238	0.00479951	0.523976	1.14455	10.8564	-70.9452	-0.728857	-9.48954	0.174359	-9.12348	0.132224	
51	-0.371528	1.74347	-1.80005	0.459103	-2.67968	0.00132839	0.00496084	0.524287	1.14268	10.6099	-72.1045	-0.596071	-9.47543	0.192349	-9.14237	0.170003	
52	-0.37115	1.74067	-1.80005	0.470518	-2.77077	0.00129963	0.00538214	0.524604	1.14026	10.7933	-74.0892	-0.309833	-9.48609	0.198409	-8.97237	0.113335	
53	-0.370315	1.73777	-1.80005	0.48289	-2.8663	0.0012927	0.00558564	0.524934	1.13821	10.5469	-76.1427	-0.0585365	-9.47757	0.207281	-9.01015	0.0755568	
54	-0.369638	1.73479	-1.80005	0.48289	-2.95821	0.00129377	0.00589383	0.525272	1.13589	8.44735	-77.6606	0.0753145	-9.48057	0.217285	-9.02904	0.170003	
55	-0.369638	1.73172	-1.80005	0.503258	-3.03874	-0.000270046	0.00657658	0.525613	1.13282	9.00042	-78.0352	0.0168845	-9.5027	0.209562	-9.12348	0.0566676	
56	-0.369638	1.72857	-1.80005	0.520551	-3.1085	-0.00197554	0.00727669	0.52596	1.12968	9.20701	-77.4874	-0.161921	-9.52348	0.201998	-9.48238	0.0755568	
57	-0.367955	1.72537	-1.80005	0.526923	-3.17361	-0.00192068	0.00710718	0.526325	1.12815	9.42526	-76.7778	-0.156435	-9.47324	0.215967	-9.38793	0.0755568	
58	-0.367955	1.72208	-1.80006	0.547291	-3.24701	-0.0019079	0.00784032	0.526684	1.12487	11.043	-77.5347	-0.194465	-9.49361	0.218392	-9.29349	0.170003	
59	-0.367955	1.71872	-1.80006	0.567658	-3.32889	3.88823e-05	0.00859306	0.527049	1.1215	12.5755	-79.3013	0.00388823	-9.51596	0.231424	-9.33126	0.170003	
60	-0.367955	1.71526	-1.80005	0.588026	-3.41618	0.00287729	0.00936635	0.527422	1.11805	14.1296	-81.3695	0.244905	-9.53968	0.244864	-9.29349	0.170003	
61	-0.367955	1.71172	-1.80005	0.610543	-3.50432	0.00431913	0.0101605	0.527802	1.11451	15.144	-82.4643	0.299074	-9.5631	0.248005	-9.19904	0.22667	
62	-0.367486	1.7081	-1.80005	0.637361	-3.58478	0.00501475	0.0107269	0.528193	1.11136	16.6843	-81.401	0.371513	-9.5622	0.252884	-9.08571	0.207781	
63	-0.367486	1.70439	-1.80004	0.659879	-3.66129	0.00500304	0.0115597	0.528585	1.10766	17.6988	-79.4987	0.371033	-9.58308	0.255637	-9.02904	0.207781	
64	-0.367864	1.70062	-1.80004	0.694676	-3.73051	0.00499664	0.0126102	0.528976	1.10351	21.1785	-77.2295	0.370288	-9.61312	0.253915	-9.10459	0.170003	
65	-0.365618	1.69678	-1.80003	0.694676	-3.79565	0.00656099	0.012288	0.529404	1.10192	19.1418	-75.6916	0.683104	-9.54267	0.273183	-9.50127	0.22667	
66	-0.36477	1.69287	-1.80002	0.70909	-3.86123	0.00826649	0.0127214	0.52982	1.09887	18.8539	-75.2729	1.0242	-9.52734	0.28203	-9.36904	0.207781	
67	-0.364207	1.68889	-1.80002	0.723086	-3.92995	0.0070345	0.0133219	0.530237	1.09546	19.6162	-75.6336	0.895518	-9.52621	0.289375	-9.42571	0.22667	
